Date,AGG,IXC,IXG,IXJ,IXN,IXP,IYR
2010-07-23,107.43000030517578,32.09000015258789,42.72999954223633,23.225000381469727,54.209999084472656,52.310001373291016,50.709999084472656
2010-07-26,107.41000366210938,32.5099983215332,43.34999847412109,23.479999542236328,54.68000030517578,52.810001373291016,52.02000045776367
2010-07-27,107.37000274658205,32.34000015258789,44.06999969482422,23.420000076293945,54.59999847412109,52.869998931884766,52.0099983215332
2010-07-28,107.56999969482422,32.189998626708984,44.0099983215332,23.229999542236328,54.2599983215332,52.66999816894531,51.93000030517578
2010-07-29,107.66999816894533,32.18000030517578,44.20000076293945,23.315000534057617,53.97999954223633,53.18999862670898,51.470001220703125
2010-07-30,107.8499984741211,32.150001525878906,44.09000015258789,23.34000015258789,53.83000183105469,53.130001068115234,51.650001525878906
2010-08-02,107.41000366210938,33.25,45.58000183105469,23.7450008392334,54.9900016784668,54.40999984741211,53.220001220703125
2010-08-03,107.4800033569336,33.290000915527344,45.13999938964844,23.90999984741211,54.59000015258789,54.130001068115234,52.93999862670898
2010-08-04,107.29000091552734,33.5,45.25,24.13999938964844,54.720001220703125,54.40999984741211,53.11000061035156
2010-08-05,107.41999816894533,33.4900016784668,44.9900016784668,24.13500022888184,54.58000183105469,54.43000030517578,52.45000076293945
2010-08-06,107.62999725341795,33.22999954223633,44.869998931884766,24.34000015258789,54.52000045776367,54.619998931884766,52.27999877929688
2010-08-09,107.62999725341795,33.40999984741211,45.20000076293945,24.399999618530277,54.59999847412109,54.97999954223633,52.79999923706055
2010-08-10,107.80999755859376,33.15999984741211,44.65999984741211,24.520000457763672,53.959999084472656,54.900001525878906,52.38999938964844
2010-08-11,107.91000366210938,31.989999771118164,42.59999847412109,23.780000686645508,52.380001068115234,53.34000015258789,51.130001068115234
2010-08-12,107.73999786376952,31.76000022888184,42.27000045776367,23.93000030517578,51.70000076293945,53.45000076293945,50.540000915527344
2010-08-13,107.98999786376952,31.71999931335449,42.220001220703125,23.80500030517578,51.41999816894531,53.43999862670898,50.43000030517578
2010-08-16,108.3499984741211,31.76000022888184,42.13999938964844,23.864999771118164,51.59999847412109,53.79999923706055,50.47999954223633
2010-08-17,108.22000122070312,32.22999954223633,42.72999954223633,24.01000022888184,52.11000061035156,54.18000030517578,51.58000183105469
2010-08-18,108.0999984741211,31.979999542236328,42.86000061035156,24.100000381469727,52.38999938964844,54.27000045776367,51.59000015258789
2010-08-19,108.4499969482422,31.459999084472656,42.02999877929688,23.63999938964844,51.869998931884766,53.470001220703125,50.41999816894531
2010-08-20,108.3000030517578,31.209999084472656,41.68999862670898,23.545000076293945,51.75,53.04999923706055,50.27000045776367
2010-08-23,108.41000366210938,31.1200008392334,41.5,23.600000381469727,51.22999954223633,52.810001373291016,50.02999877929688
2010-08-24,108.83999633789062,30.540000915527344,40.709999084472656,23.209999084472656,50.380001068115234,52.77000045776367,49.810001373291016
2010-08-25,108.58999633789062,30.540000915527344,40.720001220703125,23.40999984741211,50.54999923706055,52.61000061035156,50.459999084472656
2010-08-26,108.7300033569336,30.38999938964844,40.5099983215332,23.270000457763672,50.09999847412109,52.5,50.18000030517578
2010-08-27,108.12999725341795,31.11000061035156,41.45000076293945,23.559999465942383,50.68999862670898,53.45000076293945,50.97999954223633
2010-08-30,108.86000061035156,30.690000534057617,40.77999877929688,23.34000015258789,50.09000015258789,52.79999923706055,50.5099983215332
2010-08-31,108.94000244140624,30.530000686645508,41.0099983215332,23.334999084472656,49.68999862670898,53.20000076293945,50.97999954223633
2010-09-01,108.41000366210938,31.729999542236328,42.619998931884766,23.88500022888184,51.08000183105469,54.34999847412109,52.59000015258789
2010-09-02,108.2699966430664,31.96999931335449,42.86000061035156,23.959999084472656,51.400001525878906,54.43999862670898,53.25
2010-09-03,108.0199966430664,32.36000061035156,43.47999954223633,24.165000915527344,52.2400016784668,54.900001525878906,53.95000076293945
2010-09-07,108.33000183105467,31.8799991607666,42.58000183105469,24.01499938964844,51.7599983215332,54.29999923706055,53.20000076293945
2010-09-08,108.25,32.08000183105469,42.790000915527344,24.13999938964844,51.95000076293945,54.59000015258789,53.22999954223633
2010-09-09,107.7300033569336,32.209999084472656,43.40999984741211,24.420000076293945,52.18000030517578,54.810001373291016,52.83000183105469
2010-09-10,107.5,32.459999084472656,43.369998931884766,24.56999969482422,52.290000915527344,54.93000030517578,53.040000915527344
2010-09-13,107.73999786376952,32.77000045776367,44.52000045776367,24.684999465942383,53.43000030517578,55.45000076293945,53.869998931884766
2010-09-14,108.12999725341795,32.84000015258789,44.43999862670898,24.850000381469727,53.65999984741211,55.720001220703125,53.709999084472656
2010-09-15,107.93000030517578,32.720001220703125,44.630001068115234,24.934999465942383,53.84999847412109,55.970001220703125,54.130001068115234
2010-09-16,107.75,32.66999816894531,44.380001068115234,24.934999465942383,54.09000015258789,55.93999862670898,53.84000015258789
2010-09-17,107.88999938964844,32.45000076293945,44.0,24.850000381469727,54.18000030517578,55.880001068115234,54.0
2010-09-20,107.93000030517578,32.970001220703125,44.68000030517578,25.225000381469727,55.0,56.83000183105469,55.209999084472656
2010-09-21,108.38999938964844,32.970001220703125,44.43000030517578,25.209999084472656,54.900001525878906,57.02000045776367,54.34000015258789
2010-09-22,108.41999816894533,32.75,44.20000076293945,25.23500061035156,54.720001220703125,56.97999954223633,53.77999877929688
2010-09-23,108.54000091552734,32.630001068115234,43.400001525878906,25.059999465942383,54.4900016784668,56.38999938964844,52.119998931884766
2010-09-24,108.13999938964844,33.2400016784668,44.7400016784668,25.46500015258789,55.650001525878906,57.43999862670898,53.540000915527344
2010-09-27,108.51000213623048,33.27000045776367,44.34000015258789,25.270000457763672,55.59999847412109,57.459999084472656,53.0099983215332
2010-09-28,108.7699966430664,33.400001525878906,44.4900016784668,25.46999931335449,55.66999816894531,57.68000030517578,53.150001525878906
2010-09-29,108.69000244140624,33.7400016784668,44.13999938964844,25.375,55.77000045776367,57.470001220703125,52.7599983215332
2010-09-30,108.6500015258789,33.86000061035156,44.04999923706055,25.325000762939453,55.560001373291016,57.18000030517578,52.880001068115234
2010-10-01,108.26000213623048,34.459999084472656,44.38999938964844,25.424999237060547,55.66999816894531,57.81999969482422,53.13999938964844
2010-10-04,108.44000244140624,34.06999969482422,43.95000076293945,25.145000457763672,54.88999938964844,57.52999877929688,53.59000015258789
2010-10-05,108.44000244140624,34.810001373291016,45.34999847412109,25.665000915527344,56.15999984741211,58.619998931884766,54.290000915527344
2010-10-06,108.5500030517578,35.0,45.41999816894531,25.649999618530277,55.93000030517578,58.59000015258789,54.130001068115234
2010-10-07,108.5999984741211,34.84000015258789,45.380001068115234,25.63999938964844,56.040000915527344,58.40999984741211,54.25
2010-10-08,108.81999969482422,35.20000076293945,45.52999877929688,25.7549991607666,56.25,58.619998931884766,54.31999969482422
2010-10-11,108.76000213623048,35.13999938964844,45.369998931884766,25.729999542236328,56.38999938964844,58.52000045776367,54.2400016784668
2010-10-12,108.6500015258789,35.04999923706055,45.56999969482422,25.850000381469727,56.68999862670898,58.68999862670898,54.709999084472656
2010-10-13,108.63999938964844,35.470001220703125,45.88999938964844,26.01000022888184,57.27000045776367,59.02000045776367,55.25
2010-10-14,108.23999786376952,35.459999084472656,45.619998931884766,26.0049991607666,57.18000030517578,59.31999969482422,55.08000183105469
2010-10-15,108.0199966430664,35.529998779296875,45.15999984741211,26.075000762939453,58.04999923706055,59.29999923706055,55.04999923706055
2010-10-18,108.4000015258789,35.7400016784668,45.84000015258789,26.26499938964844,58.34000015258789,59.63999938964844,54.77000045776367
2010-10-19,108.48999786376952,34.810001373291016,44.900001525878906,25.7450008392334,57.209999084472656,58.400001525878906,55.040000915527344
2010-10-20,108.62000274658205,35.220001220703125,45.709999084472656,25.989999771118164,57.810001373291016,59.43999862670898,56.13999938964844
2010-10-21,108.4499969482422,35.0099983215332,45.31999969482422,26.01499938964844,57.810001373291016,58.9900016784668,56.02999877929688
2010-10-22,108.5,35.119998931884766,45.459999084472656,25.934999465942383,58.310001373291016,59.040000915527344,56.040000915527344
2010-10-25,108.51000213623048,35.33000183105469,45.52999877929688,26.05500030517578,58.459999084472656,59.22999954223633,56.150001525878906
2010-10-26,108.26000213623048,35.38999938964844,45.25,25.924999237060547,58.400001525878906,59.27000045776367,55.81999969482422
2010-10-27,108.0500030517578,35.09000015258789,44.91999816894531,25.86000061035156,58.4900016784668,58.81999969482422,55.2599983215332
2010-10-28,108.31999969482422,35.220001220703125,45.0,25.975000381469727,58.720001220703125,59.56999969482422,54.91999816894531
2010-10-29,108.5500030517578,35.41999816894531,45.0,25.86000061035156,58.59999847412109,59.65999984741211,54.959999084472656
2010-11-01,108.2300033569336,35.439998626708984,44.900001525878906,25.84499931335449,58.619998931884766,59.59999847412109,55.36000061035156
2010-11-02,108.41999816894533,36.119998931884766,45.34999847412109,26.09000015258789,59.150001525878906,60.34000015258789,55.66999816894531
2010-11-03,108.4000015258789,36.20000076293945,45.810001373291016,26.149999618530277,59.369998931884766,60.56999969482422,55.61000061035156
2010-11-04,108.91999816894533,37.2400016784668,47.27000045776367,26.364999771118164,60.31999969482422,61.33000183105469,57.04999923706055
2010-11-05,108.62000274658205,37.369998931884766,47.20000076293945,26.23500061035156,60.470001220703125,60.93000030517578,57.619998931884766
2010-11-08,108.56999969482422,37.2599983215332,46.869998931884766,26.11000061035156,60.45000076293945,60.52999877929688,57.34000015258789
2010-11-09,108.04000091552734,37.09999847412109,46.16999816894531,25.95499992370605,60.18999862670898,60.130001068115234,55.27000045776367
2010-11-10,107.9499969482422,37.400001525878906,46.52999877929688,25.979999542236328,60.43000030517578,60.34000015258789,55.93000030517578
2010-11-11,107.94000244140624,37.619998931884766,45.90999984741211,25.924999237060547,59.5099983215332,59.7400016784668,55.47999954223633
2010-11-12,107.51000213623048,37.02000045776367,45.36000061035156,25.674999237060547,58.650001525878906,59.2599983215332,54.959999084472656
2010-11-15,106.91999816894533,36.95000076293945,45.41999816894531,25.604999542236328,58.54999923706055,59.209999084472656,54.36000061035156
2010-11-16,107.18000030517578,35.970001220703125,44.41999816894531,25.239999771118164,57.540000915527344,58.060001373291016,52.650001525878906
2010-11-17,107.20999908447266,36.02999877929688,44.43000030517578,25.43000030517578,57.5,58.16999816894531,53.11000061035156
2010-11-18,107.18000030517578,36.7599983215332,45.290000915527344,25.78499984741211,58.56999969482422,59.060001373291016,53.47999954223633
2010-11-19,107.3000030517578,37.0,45.45000076293945,25.82999992370605,58.790000915527344,59.36000061035156,53.72999954223633
2010-11-22,107.55999755859376,36.79999923706055,44.61000061035156,25.774999618530277,59.119998931884766,58.88999938964844,53.84000015258789
2010-11-23,107.66999816894533,35.95000076293945,43.470001220703125,25.26499938964844,58.11000061035156,57.65999984741211,53.459999084472656
2010-11-24,107.1500015258789,36.47999954223633,44.150001525878906,25.440000534057617,59.16999816894531,58.209999084472656,54.4900016784668
2010-11-26,107.37000274658205,36.060001373291016,43.29999923706055,25.295000076293945,58.84000015258789,57.66999816894531,54.33000183105469
2010-11-29,107.44000244140624,36.0,43.34000015258789,25.13500022888184,58.41999816894531,56.880001068115234,54.29999923706055
2010-11-30,107.37000274658205,35.77000045776367,42.83000183105469,24.899999618530277,57.7599983215332,56.59999847412109,54.09000015258789
2010-12-01,106.26000213623048,36.709999084472656,43.93999862670898,25.31999969482422,59.11000061035156,57.540000915527344,54.5
2010-12-02,106.0500030517578,37.36000061035156,44.93999862670898,25.559999465942383,59.900001525878906,58.2599983215332,55.2400016784668
2010-12-03,106.26000213623048,37.619998931884766,45.040000915527344,25.63999938964844,60.34999847412109,58.5,55.31999969482422
2010-12-06,106.6500015258789,37.77999877929688,44.66999816894531,25.440000534057617,60.27000045776367,58.310001373291016,55.34999847412109
2010-12-07,105.81999969482422,37.77000045776367,44.68000030517578,25.459999084472656,60.31999969482422,58.27999877929688,55.52999877929688
2010-12-08,105.30999755859376,37.7599983215332,45.33000183105469,25.625,60.7400016784668,58.2400016784668,54.70000076293945
2010-12-09,105.5,37.72999954223633,45.7599983215332,25.57999992370605,60.70000076293945,58.36000061035156,54.11000061035156
2010-12-10,105.3000030517578,37.86000061035156,45.93999862670898,25.81999969482422,61.0099983215332,58.68999862670898,54.66999816894531
2010-12-13,105.37000274658205,38.27000045776367,46.16999816894531,25.8700008392334,60.91999816894531,58.9900016784668,54.810001373291016
