Date,AGG,IXC,IXG,IXJ,IXN,IXP,IYR,JXI,KXI,MXI,RXI
2006-11-30,101.06999969482422,38.06999969482422,87.94000244140625,28.6200008392334,58.540000915527344,62.18000030517578,85.94999694824219,55.84000015258789,26.07999992370605,55.34000015258789,56.40999984741211
2006-12-01,100.86000061035156,37.95000076293945,87.16000366210938,28.600000381469727,57.900001525878906,61.7599983215332,85.75,55.810001373291016,26.01499938964844,55.209999084472656,56.18999862670898
2006-12-04,100.95999908447266,38.06999969482422,88.38999938964844,28.44499969482422,58.77000045776367,62.56999969482422,86.8499984741211,56.34999847412109,26.32999992370605,56.04999923706055,56.18999862670898
2006-12-05,100.9000015258789,38.36333465576172,88.5999984741211,28.51000022888184,58.90999984741211,62.869998931884766,86.22000122070312,56.88999938964844,26.3799991607666,56.4900016784668,56.91999816894531
2006-12-06,100.81999969482422,38.12333297729492,88.66000366210938,28.59000015258789,58.650001525878906,62.869998931884766,86.12999725341797,56.77000045776367,26.364999771118164,56.290000915527344,56.869998931884766
2006-12-07,100.7300033569336,37.97999954223633,88.76000213623047,28.5049991607666,58.209999084472656,63.150001525878906,85.19999694824219,56.83000183105469,26.434999465942383,56.41999816894531,56.75
2006-12-08,100.5199966430664,37.91999816894531,88.80000305175781,28.57999992370605,58.290000915527344,62.95000076293945,85.23999786376953,56.630001068115234,26.38500022888184,56.11000061035156,56.72999954223633
2006-12-11,100.5,38.0099983215332,89.12000274658203,28.59000015258789,58.34999847412109,63.43999862670898,85.69999694824219,57.0,26.424999237060547,56.34999847412109,57.06999969482422
2006-12-12,100.77999877929688,37.9566650390625,89.30999755859375,28.684999465942383,58.0099983215332,64.05999755859375,85.30999755859375,57.0,26.530000686645508,56.18000030517578,56.970001220703125
2006-12-13,100.47000122070312,38.25333404541016,89.55999755859375,28.68000030517578,58.310001373291016,64.2300033569336,84.83999633789062,57.38999938964844,26.530000686645508,56.310001373291016,57.36000061035156
2006-12-14,100.33000183105467,38.86666488647461,90.19000244140624,28.75,58.61000061035156,64.62000274658203,85.0,57.4900016784668,26.665000915527344,56.88999938964844,57.790000915527344
2006-12-15,100.30999755859376,38.38999938964844,90.16999816894533,28.834999084472656,58.68999862670898,64.55000305175781,84.5,57.400001525878906,26.73500061035156,56.75,57.52999877929688
2006-12-18,100.37000274658205,37.6533317565918,90.1999969482422,28.780000686645508,58.650001525878906,64.48999786376953,84.25,57.13999938964844,26.604999542236328,56.29999923706055,57.43999862670898
2006-12-19,100.44000244140624,38.220001220703125,90.33999633789062,28.864999771118164,58.209999084472656,64.36000061035156,83.5999984741211,57.400001525878906,26.7450008392334,56.65999984741211,57.77000045776367
2006-12-20,100.4000015258789,37.75333404541016,90.5,28.8700008392334,58.400001525878906,64.41999816894531,83.19999694824219,56.97999954223633,26.670000076293945,56.52000045776367,57.77000045776367
2006-12-21,100.5999984741211,37.09000015258789,88.83000183105469,28.68000030517578,57.970001220703125,62.66999816894531,82.4000015258789,56.68000030517578,26.51000022888184,55.7599983215332,57.470001220703125
2006-12-22,100.51000213623048,36.75333404541016,88.5999984741211,28.395000457763672,57.77000045776367,62.15999984741211,81.76000213623047,56.52999877929688,26.48500061035156,55.58000183105469,57.45000076293945
2006-12-26,100.4800033569336,36.76666641235352,89.08999633789062,28.530000686645508,57.91999816894531,62.29999923706055,82.58000183105469,56.4900016784668,26.5,55.79999923706055,57.45000076293945
2006-12-27,99.83999633789062,37.18000030517578,90.05000305175781,28.725000381469727,58.400001525878906,63.150001525878906,83.30000305175781,57.0099983215332,26.725000381469727,56.540000915527344,57.81999969482422
2006-12-28,99.70999908447266,37.24333190917969,89.9000015258789,28.69499969482422,58.16999816894531,63.13999938964844,83.55000305175781,56.93000030517578,26.739999771118164,56.709999084472656,57.7400016784668
2006-12-29,99.6999969482422,37.15666580200195,90.5500030517578,28.59000015258789,58.31999969482422,63.310001373291016,83.3499984741211,57.09999847412109,26.6299991607666,56.68999862670898,57.83000183105469
2007-01-03,99.91000366210938,36.10333251953125,90.3000030517578,28.799999237060547,58.38999938964844,63.70000076293945,83.87000274658203,57.290000915527344,26.665000915527344,56.13999938964844,57.900001525878906
2007-01-04,100.12000274658205,35.28666687011719,90.05000305175781,29.07999992370605,59.25,64.16000366210938,83.8499984741211,56.880001068115234,26.799999237060547,55.5,58.150001525878906
2007-01-05,100.0500030517578,35.42333221435547,88.94999694824219,28.96500015258789,58.650001525878906,63.15999984741211,82.55000305175781,55.68000030517578,26.565000534057617,54.7400016784668,57.27000045776367
2007-01-08,100.11000061035156,35.29999923706055,89.0,28.645000457763672,58.79999923706055,63.75,82.52999877929688,55.54999923706055,26.530000686645508,54.34999847412109,57.630001068115234
2007-01-09,100.11000061035156,34.71666717529297,89.0,28.78499984741211,58.88999938964844,63.720001220703125,83.5,55.4900016784668,26.540000915527344,54.59000015258789,57.630001068115234
2007-01-10,100.0,34.279998779296875,88.88999938964844,28.56999969482422,59.209999084472656,63.0099983215332,84.83000183105469,55.29999923706055,26.549999237060547,54.59999847412109,57.61000061035156
2007-01-11,99.80999755859376,34.186668395996094,89.55000305175781,28.7450008392334,59.58000183105469,63.65999984741211,85.80000305175781,55.70000076293945,26.684999465942383,55.310001373291016,58.20000076293945
2007-01-12,99.66999816894533,35.0433349609375,90.2300033569336,29.100000381469727,59.869998931884766,63.970001220703125,86.0999984741211,55.91999816894531,26.815000534057617,55.93999862670898,58.619998931884766
2007-01-16,99.8000030517578,34.733333587646484,90.23999786376952,29.315000534057617,59.86000061035156,63.83000183105469,87.08999633789062,55.86000061035156,26.809999465942383,55.65999984741211,58.66999816894531
2007-01-17,99.73999786376952,34.983333587646484,90.0999984741211,29.30500030517578,59.220001220703125,63.77999877929688,87.3499984741211,55.709999084472656,26.84000015258789,55.95000076293945,58.619998931884766
2007-01-18,99.87999725341795,34.686668395996094,89.93000030517578,29.559999465942383,58.150001525878906,63.88999938964844,87.05000305175781,55.63999938964844,26.81999969482422,55.709999084472656,59.0099983215332
2007-01-19,99.83999633789062,35.369998931884766,90.5,29.6200008392334,58.15999984741211,64.33000183105469,87.81999969482422,55.720001220703125,26.90999984741211,56.470001220703125,59.29999923706055
2007-01-22,99.88999938964844,35.23666763305664,90.12000274658205,29.399999618530277,57.900001525878906,64.25,87.55000305175781,55.810001373291016,26.864999771118164,56.18000030517578,58.86000061035156
2007-01-23,99.6999969482422,35.96333312988281,90.5,29.38999938964844,57.77999877929688,64.52999877929688,87.80000305175781,55.91999816894531,26.899999618530277,57.33000183105469,59.13999938964844
2007-01-24,99.66999816894533,36.220001220703125,91.2699966430664,29.44499969482422,58.63999938964844,65.38999938964844,89.0,56.54999923706055,27.0049991607666,58.09000015258789,59.5099983215332
2007-01-25,99.54000091552734,35.56666564941406,90.33000183105467,29.325000762939453,58.060001373291016,64.66000366210938,89.52999877929688,55.970001220703125,26.774999618530277,57.27000045776367,58.470001220703125
2007-01-26,99.52999877929688,35.619998931884766,89.91999816894531,29.13999938964844,58.04999923706055,64.38999938964844,89.80000305175781,56.25,26.8799991607666,57.2400016784668,58.29999923706055
2007-01-29,99.4000015258789,35.36666488647461,89.6500015258789,29.1200008392334,57.93000030517578,64.08000183105469,90.05999755859375,56.56999969482422,26.899999618530277,57.08000183105469,58.58000183105469
2007-01-30,99.5500030517578,35.88333511352539,90.3499984741211,29.21999931335449,58.150001525878906,64.51000213623047,90.37000274658205,56.91999816894531,26.975000381469727,57.470001220703125,58.84000015258789
2007-01-31,99.62999725341795,35.95000076293945,90.62000274658205,29.280000686645508,58.5,64.8499984741211,91.4000015258789,56.91999816894531,27.149999618530277,58.11000061035156,59.33000183105469
2007-02-01,99.29000091552734,36.24333190917969,91.25,29.479999542236328,58.380001068115234,65.12999725341797,91.3499984741211,57.43000030517578,27.26000022888184,58.75,59.33000183105469
2007-02-02,99.43000030517578,36.2400016784668,91.30999755859376,29.55500030517578,58.02000045776367,65.0999984741211,92.0,57.95000076293945,27.270000457763672,58.59000015258789,59.4900016784668
2007-02-05,99.58999633789062,36.15999984741211,90.94000244140624,29.53499984741211,58.06999969482422,65.0199966430664,91.94000244140624,58.040000915527344,27.21500015258789,58.400001525878906,59.150001525878906
2007-02-06,99.77999877929688,36.223331451416016,91.72000122070312,29.6299991607666,57.88999938964844,65.4000015258789,93.1999969482422,58.810001373291016,27.280000686645508,59.15999984741211,59.560001373291016
2007-02-07,99.9000015258789,35.89666748046875,92.0999984741211,29.59000015258789,58.43999862670898,65.83999633789062,94.56999969482422,59.18000030517578,27.26000022888184,59.5,59.68000030517578
2007-02-08,99.95999908447266,36.15666580200195,91.51000213623048,29.625,58.310001373291016,65.95999908447266,93.8499984741211,58.9900016784668,27.11000061035156,59.13999938964844,59.31999969482422
2007-02-09,99.7300033569336,36.0433349609375,90.83999633789062,29.434999465942383,57.709999084472656,65.4800033569336,92.5199966430664,58.7400016784668,26.9950008392334,58.86000061035156,59.04999923706055
2007-02-12,99.62999725341795,35.606666564941406,90.45999908447266,29.2549991607666,57.400001525878906,65.26000213623047,90.97000122070312,58.709999084472656,26.96500015258789,58.70000076293945,58.900001525878906
2007-02-13,99.62000274658205,36.186668395996094,91.29000091552734,29.55500030517578,57.56999969482422,65.80999755859375,92.58999633789062,58.79999923706055,27.2450008392334,59.88999938964844,59.45000076293945
2007-02-14,100.0,36.26333236694336,92.5,29.700000762939453,58.68000030517578,66.44000244140625,92.0199966430664,59.5,27.424999237060547,60.790000915527344,60.34999847412109
2007-02-15,100.13999938964844,36.040000915527344,92.95999908447266,29.8700008392334,58.869998931884766,66.47000122070312,92.77999877929688,59.310001373291016,27.59000015258789,61.08000183105469,60.720001220703125
2007-02-16,100.20999908447266,35.996665954589844,92.87000274658205,29.834999084472656,58.91999816894531,66.5,92.45999908447266,59.22999954223633,27.56999969482422,61.0,60.61000061035156
2007-02-20,100.26000213623048,35.58000183105469,92.9800033569336,29.774999618530277,59.150001525878906,66.48999786376953,93.23999786376952,59.2599983215332,27.625,61.5099983215332,60.84999847412109
